運命的な出逢いののち、電撃結婚をして“Mr. & Mrs. スミス”となったジョンとジェーン。,1
しかし、お互いに重大な秘密を明かしていなかった。,1
2人の正体は、別々の組織に所属する凄腕の暗殺者。,1
お互い相手に正体を知られないように結婚生活を送っていたが、ある日ミッション先でバッタリでくわしてしまう。",1
正体がバレたら、愛する相手でも48時間以内に始末しなければならないのが、この世界のルール。,1
2人は一瞬にして暗殺者モードに突入し、巨大組織を巻き込んだ想像を絶する戦闘へとエスカレート！,1
“ホーム”であるニューヨークを離れ、舞台はヨーロッパへ。,0
ピーター（トム・ホランド）は親友のネッド（ジェイコブ・バタロン）やMJ（ゼンデイヤ）たちと2週間の夏休み旅行へ出かける。,1
そこでピーターの前に突如現れるのは、S.H.I.E.L.D.の長官、ニック・フューリー（サミュエル・L・ジャクソン）だ。,1
「出番だぞ。私と共に戦う覚悟はあるか？」とピーターに告げるが・・。,1
10年間勤めてきた保険会社を、60歳で突如リストラされたマイケル。,1
いつもの通勤電車で帰路につき、常連客に挨拶しながらも、頭の中は住宅ローンと息子の学費のことでいっぱいだ。,1
そんな彼の前に見知らぬ女が座り、「乗客の中から、ある重要な荷物を持った人物を捜して欲しい」と持ちかける。,1
ヒントは3つ。,0
常連客ではなく、終着駅で降りる、プリンと名乗る乗客。,0
高額な報酬に抗えず、元警官の経験を生かし捜し始めるが、次から次へと襲いくる罠、深まる謎、さらには、妻と息子が人質に取られたことを知る。,1
やがて、プリンが国家をも揺るがす重大事件の目撃者であることを突き止め、ようやく６人にまで絞り込んだ時、巧妙に仕組まれていた恐るべき陰謀が明かされる。,1
イングランド。,0
ノッティンガムの広大な屋敷に暮らす若き領主ロビン・ロクスリーは、子供の頃から何の苦労も知らずに生きてきた。,0
一通の徴兵通知で、十字軍として遠い異国で厳しい戦いを経験するまでは。,0
4年後、上官に反抗したことから帰国することになったロビンは、自分が戦死したことにされて領地も財産もすべて没収され、恋人も領民も鉱山へと追放されていたことを知る。,1
どん底に落ちたロビンだが、戦地では敵だった最強戦士ジョンに導かれ、腐敗した政府に対し、たった2人で反逆を開始する。,1
頭巾＝フッドで顔を隠したロビンは、政府から金を盗み、それを領主として献上し権力のトップに潜入していく。,1
家族を惨殺された13歳の少女マチルダは、隣の部屋に住む殺し屋レオンに助けを求める。,1
戸惑いながらもマチルダに救いの手を差し出すレオン。,1
そこから二人の奇妙な共同生活が始まった。,1
弟の仇を討ちたいというマチルダにしかたなく殺しのテクニックを教えるレオンと、読み書きもできないレオンに文字を教えるマチルダ。,1
やがて二人の間には父娘とも恋人ともつかない愛情が芽生えていくが…。,1
舞台は東西冷戦の真っただ中の1960年代前半。,0
米中央情報局（CIA）エージェントのソロと、ソ連国家保安委員会（KGB）エージェントのクリヤキンは、長年の敵対感情をひとまず忘れ、謎の国際犯罪組織撲滅の合同任務に乗り出す。,1
その組織は、核兵器と技術の拡散によって、世界の勢力バランスを揺るがし、破壊へと導こうと企んでいた。,0
ふたりにとっての手がかりは、その犯罪組織に潜入するための鍵となる失踪したドイツ人科学者の娘だけ。,1
彼女を守りながら、彼らは時間切れになる前に科学者本人を捜しださなければならない。,1
考え方もやり方も何もかも正反対の2人。,1
果たして彼らは核爆弾大量生産の危機から世界を救えるのか！？,1
ロンドンの高級テーラー「キングスマン」。,0
しかしその実体は、どこの国にも属さない世界最強のスパイ機関だった！,0
高級テーラー「キングスマン」。,0
その裏の顔は世界最強のスパイ機関である。,0
ブリティッシュ・スーツをスタイリッシュに着こなすハリー（コリン・ファース）は、そのエリートスパイ。,1
組織の指揮者アーサー（マイケル・ケイン）の指令で、何者かに惨殺されたエージェントの代わりに新人をスカウトすることに。,1
ハリーは街の若者エグジー（タロン・エガートン）に可能性を見出し、「キングスマン」の候補生に抜擢。,1
実はハリーは、死んだエグジーの父と旧知の仲で、ある約束を果たそうとしていたのだった。,1
一方で、頻発する科学者失踪事件の首謀者でＩＴ富豪のヴァレンタイン（サミュエル・L・ジャクソン）が、前代未聞の人類抹殺計画を進めていた。,1
調査を開始した「キングスマン」にも、ヴァレンタインの魔の手が迫る。,1
果たして、エグジーはキングスマンの一員となれるのか。,1
そして、「キングスマン」はテロを阻止できるのか。,1
世界最強のスパイ機関、ついに出動！,0
アフガニスタンで自社兵器のデモ実験に参加したトニー・スタークは、テロ組織に襲われ拉致されてしまう。,1
胸に深い傷を負い捕虜となった彼は、組織のために最強兵器の開発を強制される。,1
トニーは装着することで、圧倒的な破壊力とパワーを発揮できる戦闘用パワードスーツを敵の目を盗み開発。,1
敵地からの脱出に成功するが、奇跡的に生還したトニーは、ある事実を知り愕然とする・・・。,1
自らが社長を務める会社が開発した兵器がテロ組織に使用されていたのだ。,1
トニーはその償いをすべく、テロ撲滅に命を捧げることを決断。,0
最先端の技術を駆使し、新たなパワードスーツの開発に着手する。,0
５年の刑期を終え、晴れて仮出所を果たしたデビー・オーシャン。,0
かつて“オーシャンズ”を率いたダニー・オーシャンを兄に持つ、生粋の強盗ファミリーの一員だ。,1
出所して早々、刑務所の中で考え抜いたプランを実行に移すべく、デビーの右腕となるルーと共に個性豊かな犯罪のプロたちに声をかけ“オーシャンズ”を新結成する。,1
集まったのはいずれも一流の才能を持ちながら冴えない生活を送っている、ハッカー、スリ師、盗品ディーラー、ファッションデザイナー、宝飾デザイナーたち。,1
彼女たちのターゲットは、世界最大のファッションの祭典“メットガラ”でハリウッド女優（アン・ハサウェイ）が身に付ける１億5001万ドルの宝石！,1
しかしそこには、網の目のように張り巡らされた防犯カメラ、屈強な男たちという世界一厳しいセキュリティが立ちはだかる。,1
たった一秒の狂いが命とり。,1
しかも祭典の模様は、リアルタイムで全世界に生配信されるという高すぎるハードル付き。,0
世界中が注目する中で宝石を盗み取る、前代未聞で型破りな計画は果たして成功するのか—？,1
そしてこの計画に隠された更なるデビーの計画とは——!?,1
最初のターミネーター出現から10年後。,1
サラ・コナーの息子ジョンは少年に成長。,1
ジョンは、近未来に人類抵抗軍のリーダーだ。,1
機械軍はジョンを少年のうちに殺すため、新しいターミネーターを送り込む。,1
ある日ロサンゼルスに2体のターミネーターが未来から送り込まれる。,0
息子を守るために、サラの死闘が始まる。,1
だが、残忍非道なターミネーターに立ち向かうサラとジョン母子に、強い味方が現れる。,1
いかなる犠牲を払ってもジョンを守れと厳命を受け、人類抵抗軍によって送り込まれた戦士だ。,1
未来への戦いが、いま始まる……,0
昼間は生真面目にホームセンターで働くマッコール（デンゼル・ワシントン）。,0
元ＣＩＡの凄腕諜報員であったが、今は別の人間として静かに暮らしている。,0
ある夜、馴染みのカフェで娼婦の少女テリー（クロエ・グレース・モレッツ）と出会い、彼女を囲っているロシアンマフィアの非道を知ったことから、彼の中で眠って正義感が目を覚まし、彼にしか出来ない「仕事」を遂行していく。,1
「仕事」、それは警察が介入できない不正やトラブルを身の周りにあるモノ全てを武器に変え、どんな問題も瞬時に解決すること。,0
そう、彼は19秒で世の中の不正を完全抹消する男。“イコライザー”であった。,0
ル・マンでの勝利という、フォード・モーター社の使命を受けたカー・エンジニアのキャロル・シェルビー（マット・デイモン）。,1
常勝チームのフェラーリに勝つためには、フェラーリを超える新しい車の開発、優秀なドライバーが必要だった。,1
彼は、破天荒なイギリス人レーサー、ケン・マイルズ（クリスチャン・ベイル）に目をつける。,1
限られた資金・時間の中、シェルビーとマイルズは、力を合わせて立ちはだかる数々の乗り越え、いよいよ1966年のル・マン24時間耐久レースで長年絶対王者として君臨しているエンツォ・フェラーリ率いるフェラーリ社に挑戦することになる。,1
アンデッドの街と化したラクーンシティでアリスは生存者のジルたちと行動をともにしていた。,1
そこへ、全ての元凶＜Ｔーウイルス＞を発明したアシュフォード博士から電話が入る。,1
彼は街に核爆弾が投下されると告げ脱出を手引きする代わりに、娘の救出を要求する。,1
"さらに、背後には追跡者""ネメシス""の陰も忍び寄っていた。",1
最悪の結末まで、あとわずか。,1
果たして彼らは、無事に生き残れるのかー。,1
天気を予測することが出来ると唱える気象学者のジェームズは、学界からは荒唐無稽とバカにされ、調査飛行の資金も集められずにいた。,1
諦めきれないジェームズは、気球操縦士のアメリアに「空に連れていってほしい」と頼み込む。,1
2年前に夫を亡くしてから、生きる気力さえ失っていたアメリアだが、悲しみから立ち直るための飛行を決意する,1
ようやくスポンサーも現れ、アメリアのショーとして、高度の世界記録に挑戦することになる。,1
観客の熱い声援に送られ飛び立った二人だが、立場と目的の違いから狭いバスケットに険悪な空気が流れる。,1
だが、高度7000mの世界記録を破った後、想像を絶する自然の脅威に次々と襲われた二人は、互いに命を預けて助け合うしかなかった。,1
果たして、前人未到の高度11000mで、二人を待ち受けていたものとは──？,1
凄腕ハッカーのネオは、最近”起きてもまだ夢を見ているような感覚”に悩まされていた。,0
そんなある日、自宅のコンピュータ画面に、不思議なメッセージが届く…。,0
正体不明の美女トリニティーに導かれて、ネオはモーフィアスという男と出会う。,1
そこで見せられた世界の真実とは。,1
やがて、人類の命運をかけた壮絶な戦いが始まる。,0
主人のもとで人間性を奪われ、妻を奪われた奴隷のジャンゴは、賞金稼ぎのシュルツと出会い、自由を与えられ、彼と共に銃の腕を磨き稼いだ金で妻を買い戻そうと決意。,1
お尋ね者を追うアメリカ横断の旅の最終目的地は、妻が捕らわれているキャンディ・ランド。,1
そこは残忍な若き暴君カルビン・キャンディが君臨する農園だ。,0
ジャンゴとシュルツは奴隷商人を装いキャンディ・ランドに乗り込むが、見かけは黒人、心は白人の老獪な奴隷頭スティーブンが二人の正体を見破り！,1
